,id,shiqu,总价,均价,面积,小区,样本数量
818,8970.342105,3.194736842,115.9415263,11784.00526,97.66205263,直隶新城,190
448,5754.571429,2,64.57142857,11769.14286,54.92857143,天威南社区,7
328,5955.5,2,85.725,11758,73.125,南基地小区,8
811,1854.222222,1,67.02777778,11746.61111,57,百货站宿舍,18
760,1733.933333,1,115.7,11718.06667,99.88333333,灵雨寺绿园住宅楼,30
382,6778.428571,2.285714286,105,11688.85714,89.84285714,和美鑫苑,7
957,6073.555556,2,109.8888889,11683,94.56888889,花园里梅兰菊社区,9
933,1468.666667,1,72.43333333,11666,63.21666667,罐头厂宿舍(玉兰大街),6
773,8805.297297,3.135135135,99.77972973,11665.45946,85.43351351,爵仕豪园,37
1120,5507.823529,2.235294118,63.23529412,11661.41176,54.23529412,韩西小区,17
